                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.17367,                 0.2536,                0.86867,                0.97911,                0.99395,                0.99426,                0.99263,                0.09237,                0.10376,                0.69711,             0.00014851,             0.00014851,             0.00014851
                     83,                0.17494,                0.25442,                0.86783,                0.97923,                0.98758,                0.99035,                0.98907,                0.09607,                 0.1043,                0.69707,             0.00014144,             0.00014144,             0.00014144
                     84,                0.17502,                0.24659,                 0.8671,                0.98435,                0.99351,                 0.9947,                0.99319,                0.09104,                 0.1011,                0.69404,             0.00013437,             0.00013437,             0.00013437
                     85,                0.17439,                0.24777,                0.86488,                0.99177,                0.98144,                0.99438,                0.99303,                0.08509,                 0.0997,                0.69038,             0.00012731,             0.00012731,             0.00012731
                     86,                 0.1708,                0.23884,                0.86372,                0.99287,                0.98208,                0.99445,                0.99336,                 0.0866,                0.10181,                0.69048,             0.00012024,             0.00012024,             0.00012024
                     87,                0.17648,                0.23846,                0.87145,                0.98569,                0.98993,                0.99374,                0.99242,                0.08552,                0.10186,                0.69093,             0.00011317,             0.00011317,             0.00011317
                     88,                0.17366,                0.23888,                0.86817,                0.98617,                0.99018,                0.99441,                0.99323,                0.08597,                0.10033,                0.69064,              0.0001061,              0.0001061,              0.0001061
                     89,                0.16858,                0.23336,                0.86535,                0.98602,                0.98729,                0.99441,                0.99316,                 0.0848,                0.09679,                0.69122,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.16805,                0.22393,                0.86345,                0.98211,                 0.9894,                0.99441,                0.99344,                0.08621,                0.09687,                 0.6926,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.09016,                0.10385,                0.83577,                0.99372,                0.98279,                 0.9947,                0.99344,                0.08353,                0.09739,                0.69075,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.08379,                0.09436,                0.83441,                0.99576,                 0.9782,                0.99416,                0.99289,                0.08518,                0.10419,                0.69654,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.08308,                0.09305,                0.83189,                0.97854,                0.99187,                0.99397,                0.99282,                0.08001,                0.10672,                0.69153,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.08125,                0.08899,                0.83096,                0.99164,                0.98034,                0.99452,                0.99319,                0.07868,                0.10012,                0.69119,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                0.07774,                0.08683,                0.83111,                0.97404,                0.99416,                0.99383,                0.99254,                0.07959,                 0.1032,                0.69249,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.07635,                0.08504,                0.82974,                0.98698,                0.98759,                0.99441,                0.99332,                0.07741,                0.10017,                0.68957,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.07497,                0.08275,                 0.8244,                0.98047,                0.99038,                0.99441,                0.99329,                0.07375,                0.09164,                0.68652,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                0.07301,                0.08017,                0.82266,                0.97529,                0.99332,                0.99383,                 0.9928,                0.07492,                 0.0964,                0.68689,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                 0.0724,                0.07901,                0.82812,                0.99145,                0.97556,                0.99383,                0.99284,                0.07501,                0.09908,                 0.6869,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                0.07273,                0.08025,                0.82846,                 0.9883,                0.97579,                0.99383,                 0.9928,                0.07456,                0.10159,                0.68692,             2.1277e-05,             2.1277e-05,             2.1277e-05
